tweet_id,favorite_count,retweet_count
688064179421470721,1830,392
688116655151435777,2998,855
688179443353796608,2255,639
688211956440801280,2370,913
688385280030670848,9913,4849
688519176466644993,2460,794
688547210804498433,2782,766
688789766343622656,2358,727
688804835492233216,1023,214
688828561667567616,1468,402
688894073864884227,2373,757
688898160958271489,2243,856
688908934925697024,2259,842
688916208532455424,2910,951
689143371370250240,2162,561
689154315265683456,3262,1096
689255633275777024,2731,1173
689275259254616065,1234,268
689280876073582592,2128,784
689283819090870273,3505,1204
689289219123089408,2397,1010
689517482558820352,3610,1563
689557536375177216,2190,503
689599056876867584,12409,6019
689623661272240129,2387,707
689659372465688576,11067,4244
689661964914655233,3410,1009
689835978131935233,2304,820
689877686181715968,3215,1295
689905486972461056,2585,757
689977555533848577,1457,486
689993469801164801,1566,500
689999384604450816,1521,411
690005060500217858,3902,1840
690015576308211712,2671,807
690021994562220032,2980,1127
690248561355657216,1795,449
690348396616552449,1600,555
690360449368465409,2831,969
690374419777196032,3471,940
690400367696297985,1988,492
690597161306841088,2092,656
